participant_ID,Condition,Voice,hits,total,hit_rate,fa_rate,corr_mem
285,LL,Active,6,6,1.0,0.0625,0.9375
285,LL,Passive,5,6,0.8333333333333334,0.0625,0.7708333333333334
286,HH,Active,3,6,0.5,0.125,0.375
286,HH,Passive,3,6,0.5,0.125,0.375
286,HL,Active,5,6,0.8333333333333334,0.125,0.7083333333333334
286,HL,Passive,2,6,0.3333333333333333,0.125,0.20833333333333331
286,LH,Active,5,6,0.8333333333333334,0.125,0.7083333333333334
286,LH,Passive,3,6,0.5,0.125,0.375
286,LL,Active,3,6,0.5,0.125,0.375
286,LL,Passive,4,6,0.6666666666666666,0.125,0.5416666666666666
289,HH,Active,3,6,0.5,0.09375,0.40625
289,HH,Passive,5,6,0.8333333333333334,0.09375,0.7395833333333334
289,HL,Active,6,6,1.0,0.09375,0.90625
289,HL,Passive,4,6,0.6666666666666666,0.09375,0.5729166666666666
289,LH,Active,6,6,1.0,0.09375,0.90625
289,LH,Passive,6,6,1.0,0.09375,0.90625
289,LL,Active,6,6,1.0,0.09375,0.90625
289,LL,Passive,5,6,0.8333333333333334,0.09375,0.7395833333333334
290,HH,Active,6,6,1.0,0.09375,0.90625
290,HH,Passive,6,6,1.0,0.09375,0.90625
290,HL,Active,6,6,1.0,0.09375,0.90625
290,HL,Passive,5,6,0.8333333333333334,0.09375,0.7395833333333334
290,LH,Active,4,6,0.6666666666666666,0.09375,0.5729166666666666
290,LH,Passive,6,6,1.0,0.09375,0.90625
290,LL,Active,6,6,1.0,0.09375,0.90625
290,LL,Passive,6,6,1.0,0.09375,0.90625
292,HH,Active,5,6,0.8333333333333334,0.3958333333333333,0.43750000000000006
292,HH,Passive,6,6,1.0,0.3958333333333333,0.6041666666666667
292,HL,Active,6,6,1.0,0.3958333333333333,0.6041666666666667
292,HL,Passive,5,6,0.8333333333333334,0.3958333333333333,0.43750000000000006
292,LH,Active,6,6,1.0,0.3958333333333333,0.6041666666666667
292,LH,Passive,6,6,1.0,0.3958333333333333,0.6041666666666667
292,LL,Active,4,6,0.6666666666666666,0.3958333333333333,0.2708333333333333
292,LL,Passive,6,6,1.0,0.3958333333333333,0.6041666666666667
293,HH,Active,5,6,0.8333333333333334,0.09375,0.7395833333333334
293,HH,Passive,6,6,1.0,0.09375,0.90625
293,HL,Active,5,6,0.8333333333333334,0.09375,0.7395833333333334
293,HL,Passive,6,6,1.0,0.09375,0.90625
293,LH,Active,5,6,0.8333333333333334,0.09375,0.7395833333333334
293,LH,Passive,5,6,0.8333333333333334,0.09375,0.7395833333333334
293,LL,Active,6,6,1.0,0.09375,0.90625
293,LL,Passive,4,6,0.6666666666666666,0.09375,0.5729166666666666
294,HH,Active,6,6,1.0,0.34375,0.65625
294,HH,Passive,6,6,1.0,0.34375,0.65625
294,HL,Active,6,6,1.0,0.34375,0.65625
294,HL,Passive,6,6,1.0,0.34375,0.65625
294,LH,Active,6,6,1.0,0.34375,0.65625
294,LH,Passive,4,6,0.6666666666666666,0.34375,0.32291666666666663
294,LL,Active,5,6,0.8333333333333334,0.34375,0.48958333333333337
294,LL,Passive,6,6,1.0,0.34375,0.65625
295,HH,Active,5,6,0.8333333333333334,0.052083333333333336,0.78125
295,HH,Passive,6,6,1.0,0.052083333333333336,0.9479166666666666
295,HL,Active,6,6,1.0,0.052083333333333336,0.9479166666666666
295,HL,Passive,6,6,1.0,0.052083333333333336,0.9479166666666666
295,LH,Active,5,6,0.8333333333333334,0.052083333333333336,0.78125
295,LH,Passive,6,6,1.0,0.052083333333333336,0.9479166666666666
295,LL,Active,5,6,0.8333333333333334,0.052083333333333336,0.78125
